contact;education;day;duration;campaign;previous;poutcome;loan
cellular;secondary;29;194;4;1;other;no
unknown;unknown;8;103;3;0;unknown;no
unknown;unknown;6;333;2;0;unknown;no
cellular;tertiary;29;102;3;0;unknown;yes
cellular;secondary;6;213;2;0;unknown;no
unknown;secondary;26;289;1;0;unknown;no
cellular;secondary;22;77;2;0;unknown;no
cellular;secondary;1;324;3;2;success;no
cellular;secondary;29;84;3;3;failure;no
cellular;secondary;29;168;1;0;unknown;no
cellular;secondary;17;380;1;0;unknown;no
unknown;tertiary;4;10;1;0;unknown;no
unknown;secondary;28;199;2;0;unknown;no
unknown;secondary;26;82;2;0;unknown;yes
cellular;tertiary;20;676;2;2;failure;no
unknown;secondary;3;455;1;0;unknown;no
telephone;secondary;16;80;4;0;unknown;no
cellular;secondary;29;549;2;0;unknown;no
unknown;tertiary;6;135;1;0;unknown;no
cellular;secondary;10;412;1;0;unknown;yes
unknown;secondary;20;101;3;0;unknown;no
cellular;tertiary;28;253;2;0;unknown;no
cellular;secondary;6;272;1;4;other;yes
cellular;secondary;17;84;1;0;unknown;no
cellular;tertiary;20;135;2;0;unknown;no
cellular;secondary;31;18;7;0;unknown;yes
cellular;secondary;5;147;2;1;failure;no
unknown;unknown;9;63;1;0;unknown;no
cellular;tertiary;17;65;2;1;failure;no
cellular;tertiary;2;194;2;0;unknown;yes
cellular;secondary;11;333;2;0;unknown;yes
cellular;secondary;15;14;5;0;unknown;no
unknown;secondary;11;140;1;0;unknown;no
cellular;tertiary;23;61;2;0;unknown;no
telephone;tertiary;19;377;3;4;success;no
cellular;secondary;2;96;1;2;other;no
cellular;secondary;8;152;2;1;failure;no
telephone;primary;23;97;6;0;unknown;yes
cellular;secondary;29;543;12;0;unknown;no
cellular;tertiary;20;240;2;0;unknown;no
unknown;secondary;17;48;2;0;unknown;no
cellular;secondary;5;471;2;0;unknown;no
cellular;secondary;30;354;3;0;unknown;no
unknown;secondary;30;435;2;0;unknown;no
cellular;secondary;21;152;2;0;unknown;yes
cellular;tertiary;3;285;1;0;unknown;no
telephone;secondary;15;185;1;2;success;no
cellular;tertiary;4;301;1;2;success;no
cellular;secondary;6;273;2;0;unknown;no
cellular;tertiary;19;768;2;3;failure;no
cellular;tertiary;19;1337;4;1;failure;no
telephone;tertiary;21;403;1;0;unknown;no
cellular;tertiary;18;139;2;0;unknown;no
cellular;secondary;9;196;1;0;unknown;yes
cellular;secondary;8;115;1;1;failure;no
cellular;secondary;28;17;14;0;unknown;no
cellular;secondary;13;141;3;0;unknown;no
cellular;tertiary;15;10;2;1;other;no
cellular;secondary;19;198;1;0;unknown;no
cellular;tertiary;3;654;2;0;unknown;no
cellular;secondary;11;71;2;0;unknown;no
cellular;secondary;13;256;2;2;failure;no
telephone;primary;10;834;10;0;unknown;yes
cellular;secondary;21;151;3;0;unknown;no
unknown;secondary;26;178;5;0;unknown;no
unknown;primary;26;59;2;0;unknown;no
cellular;primary;13;111;7;0;unknown;no
cellular;primary;20;186;1;0;unknown;no
unknown;secondary;6;227;1;0;unknown;no
cellular;secondary;20;210;1;1;other;no
cellular;primary;18;9;1;0;unknown;no
cellular;tertiary;23;112;1;6;other;yes
cellular;secondary;25;112;6;0;unknown;no
unknown;tertiary;9;222;3;0;unknown;no
cellular;secondary;13;195;3;10;failure;no
cellular;secondary;26;768;2;5;success;no
cellular;secondary;26;123;1;0;unknown;no
cellular;secondary;27;145;3;0;unknown;no
cellular;secondary;2;124;1;2;other;no
unknown;unknown;5;216;3;0;unknown;no
unknown;primary;6;69;3;0;unknown;no
cellular;tertiary;22;168;4;0;unknown;no
cellular;secondary;22;483;7;0;unknown;no
cellular;tertiary;19;690;3;0;unknown;no
cellular;tertiary;28;125;12;0;unknown;no
unknown;secondary;14;673;2;0;unknown;no
cellular;tertiary;28;60;1;1;other;no
cellular;secondary;27;123;2;0;unknown;no
cellular;tertiary;11;144;2;0;unknown;no
cellular;secondary;8;9;2;5;failure;yes
cellular;tertiary;9;155;3;0;unknown;no
cellular;tertiary;14;134;5;0;unknown;no
cellular;primary;11;;2;0;unknown;yes
cellular;primary;3;84;3;2;failure;no
cellular;primary;8;71;2;0;unknown;no
unknown;secondary;23;246;4;0;unknown;yes
cellular;tertiary;23;361;2;0;unknown;yes
cellular;secondary;12;119;4;0;unknown;no
cellular;tertiary;29;375;2;0;unknown;no
cellular;secondary;10;1097;3;0;unknown;yes
cellular;secondary;25;97;1;0;unknown;yes
cellular;secondary;26;181;2;0;unknown;no
cellular;tertiary;2;83;3;0;unknown;no
cellular;tertiary;21;180;4;0;unknown;yes
cellular;tertiary;18;543;1;2;failure;no
unknown;secondary;23;373;1;0;unknown;yes
unknown;secondary;7;230;1;0;unknown;no
telephone;secondary;31;58;13;0;unknown;no
cellular;secondary;29;88;6;0;unknown;no
cellular;secondary;2;297;1;3;failure;no
cellular;secondary;18;487;1;0;unknown;yes
unknown;secondary;20;29;3;0;unknown;no
cellular;secondary;21;484;4;0;unknown;no
cellular;tertiary;21;262;4;0;unknown;no
unknown;secondary;15;644;1;0;unknown;no
cellular;tertiary;12;699;2;1;failure;no
cellular;tertiary;28;247;2;0;unknown;no
cellular;primary;18;49;3;0;unknown;no
cellular;primary;13;341;1;0;unknown;no
unknown;tertiary;13;64;2;0;unknown;no
cellular;secondary;20;121;1;0;unknown;no
unknown;secondary;2;98;1;0;unknown;no
unknown;secondary;16;88;6;0;unknown;no
unknown;secondary;20;197;6;0;unknown;no
unknown;tertiary;9;331;1;0;unknown;no
unknown;secondary;6;83;3;0;unknown;no
cellular;tertiary;17;312;5;0;unknown;no
cellular;tertiary;4;;3;6;success;yes
cellular;primary;7;526;2;0;unknown;no
unknown;secondary;28;211;2;0;unknown;no
cellular;secondary;18;62;6;0;unknown;no
cellular;secondary;15;135;5;0;unknown;yes
cellular;tertiary;14;101;2;0;unknown;no
cellular;tertiary;28;451;1;0;unknown;no
cellular;secondary;24;1484;24;0;unknown;yes
cellular;secondary;9;317;5;0;unknown;no
cellular;primary;18;445;1;0;unknown;no
cellular;primary;1;383;2;5;failure;no
telephone;secondary;22;605;1;0;unknown;no
cellular;secondary;14;330;2;0;unknown;no
cellular;unknown;25;171;2;0;unknown;yes
cellular;secondary;23;442;2;0;unknown;yes
cellular;secondary;17;772;1;0;unknown;no
unknown;primary;8;249;5;0;unknown;yes
unknown;tertiary;9;357;1;0;unknown;no
cellular;tertiary;18;147;2;0;unknown;no
cellular;secondary;6;199;7;1;failure;yes
cellular;unknown;28;271;2;0;unknown;no
cellular;primary;30;783;3;0;unknown;no
cellular;tertiary;20;472;2;0;unknown;yes
cellular;tertiary;27;223;3;2;failure;no
unknown;primary;21;395;2;0;unknown;no
cellular;secondary;4;56;1;0;unknown;no
unknown;primary;17;641;6;0;unknown;yes
cellular;secondary;4;429;4;2;failure;no
unknown;secondary;31;113;1;0;unknown;no
unknown;unknown;20;11;11;0;unknown;no
cellular;tertiary;29;79;4;0;unknown;yes
cellular;tertiary;4;178;1;1;success;no
unknown;primary;9;168;1;0;unknown;yes
cellular;secondary;9;425;1;1;failure;no
cellular;secondary;19;162;1;0;unknown;yes
cellular;tertiary;18;799;2;0;unknown;no
cellular;secondary;29;1370;3;3;success;no
unknown;secondary;28;357;1;0;unknown;no
cellular;secondary;22;22;6;0;unknown;no
cellular;tertiary;16;215;3;3;other;no
cellular;secondary;31;56;4;0;unknown;no
cellular;primary;21;1017;6;0;unknown;no
cellular;tertiary;16;298;4;0;unknown;no
unknown;tertiary;7;126;1;0;unknown;yes
cellular;tertiary;5;8;1;5;failure;no
cellular;primary;14;201;1;1;success;no
cellular;primary;6;106;2;0;unknown;no
cellular;tertiary;21;164;1;1;failure;yes
cellular;tertiary;5;97;1;0;unknown;no
cellular;tertiary;23;151;1;0;unknown;yes
unknown;tertiary;30;96;2;0;unknown;no
cellular;unknown;16;555;1;0;unknown;no
cellular;secondary;11;270;2;1;failure;yes
cellular;tertiary;29;339;3;0;unknown;no
cellular;primary;4;328;2;2;success;no
unknown;secondary;16;159;1;0;unknown;yes
cellular;tertiary;6;323;2;1;failure;no
cellular;secondary;20;342;1;0;unknown;no
cellular;tertiary;21;180;1;0;unknown;no
cellular;tertiary;28;60;3;0;unknown;yes
cellular;tertiary;17;223;1;2;failure;no
cellular;tertiary;18;1434;2;4;failure;no
unknown;secondary;6;30;2;0;unknown;no
unknown;secondary;16;134;4;0;unknown;no
cellular;unknown;9;10;2;0;unknown;no
cellular;secondary;2;397;2;0;unknown;no
cellular;secondary;5;620;1;0;unknown;no
cellular;tertiary;21;6;6;0;unknown;no
cellular;primary;7;209;2;0;unknown;yes
unknown;primary;15;419;2;0;unknown;no
cellular;secondary;18;283;2;0;unknown;no
cellular;tertiary;8;188;2;0;unknown;no
cellular;secondary;16;267;1;0;unknown;no
cellular;secondary;7;196;2;0;unknown;no
cellular;tertiary;17;245;1;2;failure;no
cellular;primary;26;323;1;0;unknown;no
cellular;secondary;19;1065;1;1;other;no
unknown;tertiary;11;138;5;0;unknown;no
cellular;primary;4;207;1;0;unknown;no
cellular;secondary;18;131;6;9;failure;no
unknown;primary;6;94;7;0;unknown;no
cellular;tertiary;14;567;3;4;failure;no
unknown;primary;30;153;1;0;unknown;no
cellular;secondary;13;109;1;0;unknown;no
cellular;secondary;30;53;1;1;failure;no
unknown;primary;16;77;1;0;unknown;no
telephone;tertiary;27;234;2;0;unknown;no
telephone;secondary;13;121;2;4;failure;no
cellular;primary;15;155;2;0;unknown;no
cellular;primary;17;108;1;0;unknown;no
unknown;tertiary;17;159;3;0;unknown;no
unknown;secondary;26;208;3;0;unknown;no
cellular;secondary;12;215;1;0;unknown;no
unknown;secondary;6;597;3;0;unknown;no
cellular;tertiary;4;505;2;1;other;no
unknown;primary;3;380;4;0;unknown;yes
cellular;unknown;12;120;1;0;unknown;no
cellular;secondary;27;106;4;0;unknown;no
cellular;secondary;14;332;2;2;failure;no
unknown;secondary;15;221;4;0;unknown;no
cellular;secondary;4;80;1;0;unknown;no
cellular;tertiary;4;60;5;1;success;no
telephone;primary;13;212;3;0;unknown;yes
cellular;primary;14;493;3;0;unknown;no
cellular;tertiary;19;98;2;0;unknown;no
cellular;secondary;8;681;1;0;unknown;yes
cellular;secondary;22;203;1;0;unknown;no
unknown;secondary;16;287;1;0;unknown;no
cellular;secondary;7;159;2;0;unknown;no
unknown;tertiary;14;125;1;0;unknown;no
cellular;secondary;8;202;2;0;unknown;no
telephone;secondary;8;37;3;1;failure;no
cellular;secondary;28;161;1;2;failure;no
cellular;tertiary;6;72;4;0;unknown;no
cellular;secondary;2;342;1;0;unknown;no
cellular;tertiary;16;262;1;1;failure;no
cellular;tertiary;13;325;2;0;unknown;no
telephone;secondary;19;223;7;0;unknown;no
cellular;tertiary;31;1212;4;0;unknown;no
cellular;secondary;29;319;2;0;unknown;no
cellular;primary;29;182;2;0;unknown;no
cellular;secondary;17;330;1;0;unknown;yes
cellular;secondary;19;514;1;0;unknown;yes
unknown;secondary;14;213;1;0;unknown;no
cellular;tertiary;7;551;1;1;failure;no
cellular;tertiary;16;472;2;0;unknown;no
cellular;tertiary;15;140;4;2;failure;no
unknown;secondary;7;142;1;0;unknown;no
unknown;primary;4;135;3;0;unknown;no
unknown;primary;23;293;1;0;unknown;yes
unknown;tertiary;13;107;1;0;unknown;no
unknown;secondary;20;127;2;0;unknown;no
cellular;tertiary;20;1816;1;0;unknown;no
cellular;primary;4;200;3;0;unknown;no
cellular;tertiary;12;418;1;0;unknown;no
cellular;tertiary;22;387;4;0;unknown;no
cellular;secondary;5;156;1;3;failure;no
cellular;tertiary;21;121;2;0;unknown;yes
unknown;tertiary;6;108;2;0;unknown;no
cellular;tertiary;7;47;1;0;unknown;no
cellular;secondary;20;16;5;4;other;no
cellular;secondary;18;54;2;0;unknown;no
cellular;tertiary;6;265;2;0;unknown;no
unknown;tertiary;23;168;1;0;unknown;no
cellular;secondary;7;115;3;0;unknown;no
cellular;secondary;26;31;8;0;unknown;no
telephone;tertiary;25;279;4;0;unknown;no
cellular;secondary;1;28;2;0;unknown;no
cellular;secondary;20;369;1;0;unknown;no
unknown;secondary;13;247;1;0;unknown;no
cellular;tertiary;22;155;1;0;unknown;no
cellular;secondary;10;89;1;0;unknown;no
cellular;tertiary;17;180;1;0;unknown;no
cellular;secondary;18;854;1;0;unknown;no
unknown;secondary;28;266;2;0;unknown;yes
cellular;secondary;5;321;2;0;unknown;no
cellular;tertiary;28;99;24;0;unknown;no
unknown;secondary;9;147;1;0;unknown;no
cellular;tertiary;30;430;1;0;unknown;no
cellular;secondary;7;264;1;0;unknown;yes
cellular;secondary;16;156;6;0;unknown;no
cellular;tertiary;26;118;1;2;failure;no
unknown;tertiary;6;343;3;0;unknown;no
cellular;secondary;7;226;3;0;unknown;no
unknown;tertiary;1;5;1;0;unknown;no
cellular;secondary;20;138;1;0;unknown;no
cellular;secondary;10;185;1;5;success;no
telephone;secondary;3;722;1;4;failure;no
cellular;secondary;17;523;3;0;unknown;no
unknown;primary;20;8;10;0;unknown;no
cellular;tertiary;17;153;1;0;unknown;no
cellular;secondary;10;121;1;0;unknown;no
cellular;secondary;12;212;1;0;unknown;no
unknown;tertiary;21;253;3;0;unknown;no
unknown;primary;13;139;4;0;unknown;no
unknown;secondary;9;71;1;0;unknown;no
telephone;tertiary;4;421;1;2;success;no
unknown;secondary;28;199;1;0;unknown;no
unknown;secondary;14;108;1;0;unknown;no
unknown;unknown;20;247;2;0;unknown;no
telephone;secondary;9;236;4;0;unknown;no
cellular;secondary;4;97;4;5;failure;no
cellular;tertiary;14;109;8;0;unknown;no
cellular;tertiary;2;112;2;0;unknown;no
unknown;primary;19;15;10;0;unknown;no
unknown;primary;16;30;3;0;unknown;no
unknown;primary;2;193;2;0;unknown;no
cellular;tertiary;13;347;2;0;unknown;no
unknown;unknown;15;468;2;0;unknown;no
unknown;secondary;27;148;1;0;unknown;no
telephone;secondary;16;295;1;2;success;no
cellular;secondary;26;388;6;0;unknown;no
cellular;secondary;12;1735;4;0;unknown;no
unknown;tertiary;6;339;1;0;unknown;no
cellular;secondary;13;;1;1;failure;no
cellular;secondary;19;117;2;0;unknown;yes
unknown;secondary;20;587;2;0;unknown;yes
cellular;tertiary;19;501;2;0;unknown;no
cellular;tertiary;14;203;5;1;failure;no
telephone;secondary;25;282;9;0;unknown;yes
cellular;tertiary;28;110;5;0;unknown;no
cellular;primary;10;104;2;0;unknown;no
cellular;tertiary;15;231;1;0;unknown;no
unknown;secondary;20;378;3;0;unknown;no
cellular;primary;15;193;6;0;unknown;yes
unknown;tertiary;24;110;5;0;unknown;no
cellular;secondary;12;92;1;0;unknown;no
cellular;secondary;23;1407;1;0;unknown;no
cellular;secondary;6;168;1;2;failure;yes
cellular;tertiary;17;738;3;0;unknown;no
cellular;secondary;18;220;1;5;failure;no
unknown;tertiary;27;89;2;0;unknown;no
cellular;primary;20;103;1;4;failure;no
unknown;tertiary;2;70;1;0;unknown;yes
cellular;primary;20;904;2;0;unknown;no
cellular;tertiary;14;159;1;2;other;no
cellular;secondary;11;336;1;2;other;no
unknown;secondary;19;220;1;0;unknown;no
telephone;secondary;17;238;1;0;unknown;no
cellular;secondary;21;585;4;4;failure;no
cellular;primary;8;293;3;0;unknown;no
unknown;primary;17;97;1;0;unknown;no
unknown;secondary;9;1713;1;0;unknown;no
cellular;secondary;9;218;3;0;unknown;no
cellular;primary;14;109;1;2;failure;no
telephone;tertiary;21;661;1;0;unknown;no
cellular;secondary;6;145;1;0;unknown;no
telephone;primary;18;54;4;0;unknown;no
cellular;secondary;20;111;1;0;unknown;no
unknown;secondary;14;566;2;0;unknown;no
cellular;secondary;3;136;1;0;unknown;no
cellular;primary;4;273;1;0;unknown;no
cellular;tertiary;30;160;1;0;unknown;no
cellular;secondary;28;76;4;0;unknown;no
cellular;tertiary;19;44;1;0;unknown;no
unknown;secondary;27;239;1;0;unknown;yes
cellular;secondary;12;250;2;4;success;no
cellular;unknown;15;792;4;0;unknown;no
cellular;secondary;23;198;13;0;unknown;no
unknown;secondary;6;73;1;0;unknown;no
cellular;secondary;20;157;3;0;unknown;no
cellular;primary;24;90;6;0;unknown;no
cellular;secondary;5;236;2;0;unknown;no
cellular;tertiary;16;118;5;0;unknown;no
telephone;tertiary;18;40;1;0;unknown;no
cellular;secondary;17;346;1;0;unknown;no
unknown;primary;19;200;2;0;unknown;no
cellular;secondary;11;113;1;1;failure;no
unknown;tertiary;16;192;32;0;unknown;no
unknown;secondary;29;92;1;0;unknown;no
cellular;secondary;8;682;2;7;success;no
cellular;primary;25;139;9;0;unknown;no
cellular;tertiary;6;501;2;0;unknown;no
cellular;secondary;24;651;1;0;unknown;yes
cellular;secondary;18;405;13;0;unknown;no
unknown;secondary;23;350;1;0;unknown;no
cellular;secondary;8;125;2;0;unknown;no
cellular;secondary;21;35;1;1;failure;no
cellular;secondary;29;194;1;1;failure;yes
cellular;tertiary;29;168;3;0;unknown;no
unknown;tertiary;4;347;3;0;unknown;no
cellular;primary;30;3025;2;0;unknown;no
cellular;secondary;16;83;13;0;unknown;no
unknown;unknown;9;332;2;0;unknown;no
cellular;secondary;14;219;10;0;unknown;no
cellular;tertiary;16;427;1;1;failure;no
cellular;secondary;19;65;5;0;unknown;no
cellular;secondary;5;192;2;0;unknown;no
cellular;unknown;5;155;1;0;unknown;no
cellular;secondary;11;161;1;0;unknown;yes
cellular;secondary;4;19;3;2;other;no
cellular;tertiary;5;193;1;8;failure;yes
cellular;tertiary;28;819;3;0;unknown;yes
cellular;secondary;30;278;1;0;unknown;no
telephone;secondary;4;211;3;0;unknown;yes
cellular;secondary;23;61;2;0;unknown;no
cellular;tertiary;25;197;6;0;unknown;no
cellular;secondary;18;34;7;0;unknown;no
cellular;tertiary;18;95;4;0;unknown;yes
cellular;secondary;4;668;2;0;unknown;yes
unknown;tertiary;5;87;2;0;unknown;no
cellular;secondary;21;405;1;0;unknown;yes
unknown;secondary;13;83;7;0;unknown;yes
cellular;secondary;22;115;1;0;unknown;no
cellular;tertiary;10;108;1;0;unknown;no
cellular;unknown;29;113;1;0;unknown;no
cellular;primary;7;58;2;1;failure;no
cellular;primary;8;148;4;0;unknown;no
telephone;secondary;28;75;3;0;unknown;no
cellular;tertiary;8;523;3;0;unknown;yes
telephone;tertiary;18;103;1;0;unknown;yes
cellular;primary;17;146;2;4;success;no
cellular;secondary;2;356;1;0;unknown;no
cellular;primary;17;71;1;0;unknown;no
cellular;secondary;8;189;2;0;unknown;yes
unknown;secondary;28;251;1;0;unknown;no
cellular;tertiary;23;127;8;0;unknown;no
telephone;tertiary;4;197;1;0;unknown;no
cellular;tertiary;5;84;1;0;unknown;yes
unknown;secondary;8;141;2;0;unknown;no
unknown;secondary;2;171;1;0;unknown;no
cellular;tertiary;21;262;3;0;unknown;no
cellular;tertiary;7;352;2;0;unknown;no
cellular;tertiary;9;236;1;1;failure;no
cellular;tertiary;25;568;2;0;unknown;yes
cellular;secondary;27;105;2;0;unknown;no
cellular;tertiary;26;260;1;0;unknown;no
cellular;tertiary;11;222;3;4;success;no
unknown;primary;6;447;2;0;unknown;no
cellular;tertiary;21;239;8;0;unknown;no
cellular;tertiary;12;333;1;3;failure;no
cellular;tertiary;6;174;2;0;unknown;no
unknown;secondary;15;284;2;0;unknown;yes
cellular;tertiary;8;428;1;0;unknown;no
cellular;secondary;16;236;1;0;unknown;yes
cellular;secondary;29;150;2;0;unknown;no
cellular;tertiary;24;237;1;2;failure;no
cellular;tertiary;25;1031;8;0;unknown;yes
cellular;tertiary;30;107;1;3;failure;no
unknown;secondary;21;45;13;0;unknown;no
cellular;secondary;18;140;10;0;unknown;no
unknown;tertiary;9;700;1;0;unknown;no
cellular;tertiary;18;155;1;0;unknown;yes
unknown;primary;3;211;5;0;unknown;no
cellular;secondary;6;165;4;0;unknown;no
cellular;secondary;10;144;5;0;unknown;yes
unknown;tertiary;5;590;3;0;unknown;no
unknown;unknown;20;43;8;0;unknown;no
unknown;unknown;20;471;2;0;unknown;no
unknown;secondary;15;295;2;0;unknown;no
unknown;tertiary;2;526;2;0;unknown;no
cellular;tertiary;28;27;10;0;unknown;yes
cellular;secondary;12;1181;4;0;unknown;no
cellular;tertiary;26;103;2;0;unknown;no
telephone;tertiary;18;249;3;2;failure;no
cellular;secondary;5;231;4;0;unknown;no
cellular;primary;13;123;2;3;failure;yes
cellular;tertiary;16;199;2;2;failure;no
cellular;tertiary;5;197;1;3;failure;no
unknown;tertiary;28;67;2;0;unknown;no
cellular;secondary;8;220;1;0;unknown;yes
cellular;secondary;7;122;6;0;unknown;no
unknown;primary;26;104;7;0;unknown;no
cellular;primary;31;307;6;0;unknown;no
cellular;primary;11;117;1;1;success;no
cellular;secondary;5;253;1;1;success;no
cellular;secondary;3;190;1;1;other;yes
cellular;tertiary;16;767;5;0;unknown;no
cellular;tertiary;1;232;2;0;unknown;no
cellular;primary;19;854;2;3;other;no
unknown;secondary;30;293;6;0;unknown;no
telephone;secondary;16;986;1;8;failure;no
cellular;tertiary;19;66;1;0;unknown;no
cellular;primary;2;114;1;1;failure;yes
cellular;secondary;17;205;1;0;unknown;no
telephone;secondary;28;31;4;0;unknown;yes
unknown;secondary;11;113;1;0;unknown;no
cellular;secondary;6;200;1;1;failure;no
cellular;unknown;21;158;1;1;failure;no
unknown;tertiary;4;99;4;0;unknown;no
cellular;secondary;31;45;3;0;unknown;no
cellular;secondary;12;239;4;2;other;no
telephone;tertiary;11;168;3;0;unknown;no
cellular;secondary;26;196;2;0;unknown;yes
unknown;secondary;11;319;6;0;unknown;no
unknown;primary;17;209;3;0;unknown;no
